generation,fueltypeid,period
31881.775393418997,SUN,2025-07-01
31111.22770202283,SUN,2025-08-01
27787.64263317498,SUN,2025-09-01
26503.916852481758,SUN,2025-10-01
20919.610091687424,SUN,2025-11-01
19446.336065041032,SUN,2025-12-01
21420.53456252612,SUN,2026-01-01
23599.58859906219,SUN,2026-02-01
29469.931100625432,SUN,2026-03-01
33580.394708065476,SUN,2026-04-01
37134.78804854649,SUN,2026-05-01
39427.23733347268,SUN,2026-06-01
80232.55666872913,COL,2025-07-01
78717.0196723835,COL,2025-08-01
60713.51954998217,COL,2025-09-01
50122.58708878077,COL,2025-10-01
50310.29434124648,COL,2025-11-01
62267.09759009309,COL,2025-12-01
72652.04317609651,COL,2026-01-01
54134.62859845639,COL,2026-02-01
46586.62138031618,COL,2026-03-01
39891.76272389761,COL,2026-04-01
47441.52002443146,COL,2026-05-01
63659.555600790176,COL,2026-06-01
69105.51807676395,NUC,2025-07-01
69136.31607850497,NUC,2025-08-01
63530.68209751,NUC,2025-09-01
59075.63034016108,NUC,2025-10-01
61643.55836060089,NUC,2025-11-01
69587.41405003853,NUC,2025-12-01
70265.653968126,NUC,2026-01-01
62048.05100726776,NUC,2026-02-01
62336.9966122818,NUC,2026-03-01
56761.655644557795,NUC,2026-04-01
62490.43084480812,NUC,2026-05-01
65798.66728638069,NUC,2026-06-01
200298.7678927688,NG,2025-07-01
198671.4237246845,NG,2025-08-01
166607.5376184979,NG,2025-09-01
145832.12204890052,NG,2025-10-01
137588.4689894854,NG,2025-11-01
148864.69679266287,NG,2025-12-01
156971.12891712307,NG,2026-01-01
135464.8480383437,NG,2026-02-01
131404.48782060467,NG,2026-03-01
125127.29224534618,NG,2026-04-01
144354.3109154121,NG,2026-05-01
172569.1938316257,NG,2026-06-01
21025.64717101028,HYC,2025-07-01
19171.71766354008,HYC,2025-08-01
15044.811238711027,HYC,2025-09-01
14244.938166459466,HYC,2025-10-01
16432.281338732508,HYC,2025-11-01
18732.20973085112,HYC,2025-12-01
20671.014323266103,HYC,2026-01-01
18527.9833966879,HYC,2026-02-01
20855.46228237752,HYC,2026-03-01
19500.49667256364,HYC,2026-04-01
23065.229906844943,HYC,2026-05-01
21222.36696792097,HYC,2026-06-01
32566.66888204718,WND,2025-07-01
32238.975387529797,WND,2025-08-01
33129.98043826147,WND,2025-09-01
36912.98386715356,WND,2025-10-01
38256.3282500181,WND,2025-11-01
38490.44616258859,WND,2025-12-01
38469.132874303905,WND,2026-01-01
38288.74452069871,WND,2026-02-01
41684.91447581581,WND,2026-03-01
41675.92276401262,WND,2026-04-01
38323.8287494153,WND,2026-05-01
36243.159908541034,WND,2026-06-01
